"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1433507_a_at",-11.2793611429298,10.6869836439543,-16.3580507682803,3.03815476521182e-14,8.12728742639058e-13,20.3757390121046
"1437503_a_at",-12.3911895706383,12.9400041223578,-16.3563831552071,3.04480508769676e-14,8.12728742639058e-13,20.3741530057477
"1425505_at",-10.1138049394503,8.80265166451145,-16.3387061261552,3.11623732227227e-14,8.26902738868835e-13,20.3573271340759
"1435745_at",-9.56807036129163,9.1768843994215,-16.3311696542392,3.14721954182703e-14,8.302401960925e-13,20.3501458215613
"1420499_at",-9.82152879462046,9.32441247540267,-16.3117215300692,3.22865842292715e-14,8.42178589046363e-13,20.3315928313145
"1435450_at",-10.0069867589347,9.31118725957058,-16.3038961626825,3.26204234628946e-14,8.42178589046363e-13,20.3241189406623
"1438634_x_at",-10.1119487400769,9.76221466393472,-16.303659040786,3.2630595189405e-14,8.42178589046363e-13,20.3238923911091
"1434061_at",-9.86562752356783,9.42354023927638,-16.3027056469866,3.26715258441839e-14,8.42178589046363e-13,20.322981459111
"1433447_x_at",-9.57603322788025,9.55075745693421,-16.2966558335444,3.29325004515848e-14,8.440824405517e-13,20.3171993599323
"1438371_x_at",-10.1288404285889,10.7377736189479,-16.2886936046059,3.32792787939836e-14,8.48151562935933e-13,20.3095849164149
"1425367_at",-9.51686991762018,8.39766947772687,-16.2740744363416,3.39259041071908e-14,8.59773895660323e-13,20.2955908099031
"1417394_at",-9.14814231768644,8.29438486220966,-16.2643180343764,3.43646977375542e-14,8.66028779296686e-13,20.2862418237949
"1417189_at",-12.1498966652231,10.8307156748229,-16.2462915135009,3.51910280210701e-14,8.81926263350263e-13,20.2689475458185
"1451450_at",-11.2101542777417,11.7015443682008,-16.2340948222497,3.57618137442991e-14,8.91279236467034e-13,20.2572311623961
"1423593_a_at",-10.2115346896528,8.87051980705751,-16.2210367222397,3.63835897504457e-14,8.95955765496848e-13,20.2446737416823
"1423693_at",-10.481112937537,9.79986363612705,-16.218521351945,3.65046470785548e-14,8.95955765496848e-13,20.2422532056729
"1452196_a_at",-9.91360848669626,9.38392844583757,-16.2176785383703,3.6545302782403e-14,8.95955765496848e-13,20.2414420513172
"1416109_at",-9.70847618428916,9.11987733688999,-16.2129815982419,3.67727377392971e-14,8.96658486172806e-13,20.2369204747479
"1417001_a_at",-9.97377288796783,10.4139419374807,-16.1982363239666,3.7496339849166e-14,9.04142120370272e-13,20.2227139175736
"1424354_at",-11.1863763480825,10.1497091432987,-16.1960153528754,3.76066065101642e-14,9.04142120370272e-13,20.2205725362699
"1451356_at",-10.4311278467024,11.3534651833528,-16.190941606377,3.78597739685005e-14,9.04142120370272e-13,20.2156790837659
"1417124_at",-11.5396226604948,11.0784045099523,-16.1905104293703,3.78813701507385e-14,9.04142120370272e-13,20.2152631305682
"1416037_a_at",-9.38626676149974,9.60575951308629,-16.1811620346385,3.8352761096981e-14,9.10575291097269e-13,20.2062410310335
"1423079_a_at",-10.4985657017694,10.9982560915431,-16.1691811066355,3.89658269426472e-14,9.20287148367965e-13,20.1946677277419
"1429682_at",-10.9970793797405,11.0929655301971,-16.1464298147466,4.01582136289756e-14,9.43508862918276e-13,20.1726578093859
"1417214_at",-11.0304906419171,10.4461764249945,-16.1242901631549,4.13549875835271e-14,9.66592481809796e-13,20.1511984091595
"1427410_at",-8.98131178464033,8.05971560737825,-16.1143937047155,4.19018798973816e-14,9.7432670214994e-13,20.1415928604805
"1417336_a_at",-10.0642643270131,9.67267772371811,-16.0990637547898,4.27639219616017e-14,9.89272061378386e-13,20.1266974580788
"1417346_at",-10.3160364447611,9.45784768804213,-16.0929757607334,4.31113605694688e-14,9.92221160861601e-13,20.1207766083075
"1434120_a_at",-10.561725624552,10.2688773962671,-16.0819782363474,4.37464403533924e-14,1.00172686514799e-12,20.1100731880366
"1425005_at",-8.41563095336729,6.30211768205479,-16.0650038357688,4.47458226790062e-14,1.01943639446968e-12,20.0935329215836
"1446017_at",-10.3213486553718,9.78321564644345,-16.0594824752867,4.50759886199478e-14,1.02179791288736e-12,20.0881475869775
"1416082_at",-11.1568346527736,10.496279974349,-16.0473800115171,4.58085794271357e-14,1.03321250897905e-12,20.0763343650111
"1426648_at",-9.87395097073104,8.83083773138521,-16.0374409663485,4.64194641022632e-14,1.04178210231497e-12,20.0666236891595
"1417068_a_at",-11.4437497358764,10.7804129057747,-16.0190155483236,4.75744490506978e-14,1.06067428655019e-12,20.0485997309375
"1438475_at",-10.4681098779878,9.95935116960147,-16.0165457988862,4.77315185479246e-14,1.06067428655019e-12,20.046181628568
"1452372_at",-10.0832844378793,10.472684238179,-15.982541187908,4.99497653731747e-14,1.10452642940388e-12,20.0128359960139
"1418888_a_at",-12.3197154967,11.4074137841069,-15.9728961765613,5.05982561199795e-14,1.11340845540111e-12,20.0033601775148
